id,timestamp,risk,anomaly_types,category,context_type,owner_type,owner_name,owner_hash,owner_risk,target_type,target_name,target_hash,target_risk,observed,points
32c4ea8fcdc9ed05,1617260400,85,"[13, 14]",Repository,volumetric,user,alan.pocai.01108,89f124eee5da52aa,100,"","","",,"{observed=60.0, self_average=1.3, self_second_highest=8.3, org_average=198.3, org_second_highest=798086.3}",
9965625bdf60af20,1617260400,64,"[605, 606]",Web Proxy,volumetric,user,alan.pocai.01108,89f124eee5da52aa,100,website,y-backup.net,cb3a40421725cb27,85,"{observed=1310773900.0, self_average=633207.9, self_second_highest=57606208.0, org_average=6389.4, org_second_highest=1310780300.0}",
ff97c6a2d824ae1f,1617256800,86,"[19, 20]",Repository,volumetric,user,alan.pocai.01108,89f124eee5da52aa,100,"","","",,"{observed=19.0, self_average=1.1, self_second_highest=2.1, org_average=38.2, org_second_highest=331.2}",
d8a6c0120ca8f050,1617256800,79,"[316, 317]",Share Drive/File,volumetric,user,alan.pocai.01108,89f124eee5da52aa,100,share,Network Shares/Client Data,7d59bef7ef4370ad,99,"{observed=40.0, self_average=2.1, self_second_highest=4.1, org_average=1.4, org_second_highest=2.4}",
1d2b747c414dda78,1617256800,75,[13],Repository,volumetric,user,alan.pocai.01108,89f124eee5da52aa,100,"","","",,"{observed=7.0, self_average=1.3, self_second_highest=8.3, org_average=198.3, org_second_highest=798086.3}",
a0041684573437a0,1617249600,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=97045770.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
99eb7a792c7d4452,1617249600,60,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=72213090.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
ecddee666e91d483,1617246000,61,"[605, 606]",Web Proxy,volumetric,user,james.robinson.00516,e8eed9fef6d6e975,71,website,gcpnews.ca,8de9f5ccce611499,88,"{observed=111722480.0, self_average=122177384.0, self_second_highest=269240500.0, org_average=6389.4, org_second_highest=1310780300.0}",
4871d9aa2a7b41c1,1617246000,57,"[605, 606]",Web Proxy,volumetric,user,larry.wilham.00324,34bb94a9d2dd6c4c,74,website,estherterra.com,ae5b4e1d3a939fbc,100,"{observed=50347840.0, self_average=51117404.0, self_second_highest=146448480.0, org_average=6389.4, org_second_highest=1310780300.0}",
c5f38dc10c451761,1617238800,62,"[605, 606]",Web Proxy,volumetric,user,james.robinson.00516,e8eed9fef6d6e975,71,website,gcpnews.ca,8de9f5ccce611499,88,"{observed=148185392.0, self_average=122177384.0, self_second_highest=269240500.0, org_average=6389.4, org_second_highest=1310780300.0}",
fcab4b74130db534,1617235200,58,"[605, 606]",Web Proxy,volumetric,user,larry.wilham.00324,34bb94a9d2dd6c4c,74,website,estherterra.com,ae5b4e1d3a939fbc,100,"{observed=51279384.0, self_average=51117404.0, self_second_highest=146448480.0, org_average=6389.4, org_second_highest=1310780300.0}",
2b74f4588ac26788,1617231600,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=103642544.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
5f105437dca407d4,1617231600,60,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=75115880.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
1c6404c8ccaf447e,1617228000,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=102309120.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
8987c76aff1bcca1,1617228000,59,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=65878188.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
941701bd37edf986,1617224400,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=90702840.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
56b8dc1cee1ecfb5,1617224400,60,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=72466896.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
911dded4e92a8a19,1617220800,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=97098810.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
db68bb2a2c962282,1617220800,60,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=68935736.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
fa63dfcb91400746,1617217200,61,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,joypopdream.com,6336e302dee2aaf5,100,"{observed=91937824.0, self_average=122635096.0, self_second_highest=335791260.0, org_average=6389.4, org_second_highest=1310780300.0}",
add55663deafe1cc,1617217200,60,"[605, 606]",Web Proxy,volumetric,user,gertrude.freudenburg.00966,ab6b134dee6c3dbf,100,website,actionmap.biz,9efbb5ed904cebd2,100,"{observed=71004344.0, self_average=86793270.0, self_second_highest=238550690.0, org_average=6389.4, org_second_highest=1310780300.0}",
e828f808f93cfb3f,1617213600,36,"[8, 9]",Repository,volumetric,user,mary.dulin.07052,90eac24a7b27d9ec,96,project,unruffled_shirley_0148,25818a0e26666b71,100,"{observed=397676.0, self_average=409237.6, self_second_highest=809065.6, org_average=10.2, org_second_highest=1686.2}",
